id_code,type
0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot_8964,0
006adb74-934f-448f-a14f-62181742127b___JR_B.Spot_3395,0
00f2e69a-1e56-412d-8a79-fdce794a17e4___JR_B.Spot_3132,0
01613cd0-d3cd-4e96-945c-a312002037bf___JR_B.Spot_3262,0
0169b9ac-07b9-4be1-8b85-da94481f05a4___NREC_B.Spot_9169,0
018e494e-d2eb-468b-9d02-40219d9f4921___JR_B.Spot_9045,0
01940b6d-7dea-4889-a7b8-a35f4e9bba34___NREC_B.Spot_9120,0
01dfb88b-cd5a-420c-b163-51f5fe07b74d___JR_B.Spot_9091,0
01ebc916-4793-40a3-b5e4-a32687e4fa3d___NREC_B.Spot_9125,0
024623ab-be81-4d99-a653-c3be1495ce8e___JR_B.Spot_8889,0
02baf62e-11e2-4dde-97fb-e369b57d55d3___JR_B.Spot_8971,0
032aa7c4-0a95-4f09-b0bb-1242f4f32d82___NREC_B.Spot_1889,0
03bb7042-3fd5-42e1-aa2c-d51d6843704c___JR_B.Spot_8925,0
0448a226-3d3a-494d-a026-a92b048689c7___JR_B.Spot_8897,0
0495b4d4-66a4-438c-862d-c483f08e4a95___JR_B.Spot_3288,0
04d46cfb-9cc8-4083-82af-ca2bb57c8182___NREC_B.Spot_1814,0
05287bcb-610b-440f-9337-c4ce98bc3bbe___JR_B.Spot_3327,0
0558ff5a-45c7-4ea0-9479-3f71f0048208___JR_B.Spot_3183,0
055a84c4-8286-4b44-816a-66b82d3bd4bc___NREC_B.Spot_9105,0
0576dd21-3958-46a5-ab99-f9865371bd1a___NREC_B.Spot_1957,0
05af15b5-fbda-4dab-a4ba-c783d531d24d___JR_B.Spot_3150,0
05c6ea65-cce4-43da-b57b-a45321b0e51b___NREC_B.Spot_9048,0
0694ee73-2dbc-4583-9d2d-2b053ef0475b___NREC_B.Spot_1798,0
06d752a4-d4a5-439e-b374-231a2cc64032___NREC_B.Spot_1868,0
0705b53e-4c54-4fce-9bc0-833db0619f3d___JR_B.Spot_9068,0
0719e8e8-c1ae-4d5a-b29c-dbadc36d13f3___NREC_B.Spot_1947,0
0726c166-3471-41a8-8fe6-18600e89e802___NREC_B.Spot_1812,0
080b107a-192f-40ce-8942-d8ccca8dfc52___NREC_B.Spot_1872,0
08485974-1e38-4e34-b296-fadd9cc26942___NREC_B.Spot_9193,0
09035eae-2a1c-4718-8877-5270a1fe8462___JR_B.Spot_3280,0
0915c9a9-25b0-4728-be01-86e5cecb57df___NREC_B.Spot_1816,0
092b3e29-d29a-482f-9207-3cd5fbed6710___JR_B.Spot_3238,0
09ae534a-e931-4f83-8545-cf330dfebae9___NREC_B.Spot_9210,0
0a0dbf1f-1131-496f-b337-169ec6693e6f___NREC_B.Spot_9241,0
0a4c007d-41ab-4659-99cb-8a4ae4d07a55___NREC_B.Spot_1954,0
0a9cfb27-280e-475a-bbb4-8eeaeff38b8c___NREC_B.Spot_9177,0
0abffc81-6be8-4b17-a83c-4d2830e30382___JR_B.Spot_9076,0
0b27c03f-b3bc-4d96-9b76-6fbd779404b9___NREC_B.Spot_1799,0
0b47ce18-7cfe-45e8-b21e-b83cb6282455___JR_B.Spot_3162,0
0bd0f439-013b-40ed-a6d1-4e67e971d437___JR_B.Spot_3272,0
0c1eb1fd-9e3a-4396-81bc-7d1d3eccc5ed___JR_B.Spot_3369,0
0c2392f6-3e69-4baf-b9f3-197623f6631a___JR_B.Spot_3176,0
0c4e75b2-e4aa-437e-815c-636271d66bec___JR_B.Spot_3244,0
0c6f6805-490e-438c-b9cd-3fd7ee29f31b___NREC_B.Spot_9123,0
0c99cb45-b4e0-4ade-bba5-fab3b678f0bb___JR_B.Spot_8912,0
0ce74db6-be9b-4c43-a104-6a3f9bcd2de2___NREC_B.Spot_1827,0
0d2635e7-df23-4ceb-b3ba-3af50bb58357___NREC_B.Spot_1874,0
0d524d59-fb02-481b-9034-64f1de0da914___NREC_B.Spot_9060,0
0d8421cd-eebc-4018-b591-12352dd970a7___JR_B.Spot_3234,0
0d8445ac-6333-42b0-bf32-950a2dd83908___NREC_B.Spot_1862,0
0d9b55df-a8c0-4784-b1e4-957c8d679513___NREC_B.Spot_1825,0
0e57b44f-bb06-43ec-8688-5a7985b461e7___JR_B.Spot_8970,0
0efa6329-22f4-4bf0-a67a-17b0d5e4d2f2___NREC_B.Spot_9145,0
0f2b941b-cce2-46e1-a6e3-6924604e9926___NREC_B.Spot_9073,0
0f72db9c-d635-4415-9781-68937328aed2___NREC_B.Spot_9188,0
0fcbdf76-fcc4-4271-986a-9466a784d404___JR_B.Spot_3374,0
